"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2020";"Aa en Hunze";11160;3236;7924;1549;5765;581;4653;1324;1475;472
"Totaal";"2020";"Aalburg";;;;;;;;;;
"Totaal";"2020";"Aalsmeer";13182;3836;9346;1940;6383;974;4374;1911;2313;748
"Totaal";"2020";"Aalten";11513;3465;8048;1579;5786;656;4304;1388;1590;766
"Totaal";"2020";"Ter Aar";;;;;;;;;;
"Totaal";"2020";"Abcoude";;;;;;;;;;
"Totaal";"2020";"Achtkarspelen";11757;3573;8184;1484;5814;838;4157;1476;1729;822
"Totaal";"2020";"Akersloot";;;;;;;;;;
"Totaal";"2020";"Alblasserdam";8236;2502;5734;706;4406;601;2809;1038;1150;737
"Totaal";"2020";"Albrandswaard";10508;2907;7601;1372;5401;803;3537;1724;1811;529
"Totaal";"2020";"Alkemade";;;;;;;;;;
"Totaal";"2020";"Alkmaar";52179;21177;31002;7395;19038;4364;16846;5964;6039;2153
"Totaal";"2020";"Almelo";32714;11963;20751;3939;13923;2727;10677;4074;4275;1725
"Totaal";"2020";"Almere";89319;28774;60545;12382;36769;10863;27062;14787;13268;5428
"Totaal";"2020";"Alphen aan den Rijn";48720;16078;32642;6372;22588;3489;16864;6262;6748;2768
"Totaal";"2020";"Alphen-Chaam";4222;1075;3147;599;2332;208;1714;503;651;279
"Totaal";"2020";"Altena";22357;6066;16291;2192;12790;1242;8024;2980;3300;1987
