" ","Opp. per persoon, Eenpersoonshuishoudens ( m2)"
"Appingedam","95,84"
"Bedum","115,03"
"Bellingwedde","149,07"
"Ten Boer","118,59"
"Delfzijl","112,3"
"Groningen (gemeente)","69,6"
"Grootegast","134,56"
"Haren","131,83"
"Hoogezand-Sappemeer","92,35"
"Leek","110,62"
"Loppersum","132,94"
"Marum","122,75"
"Almere","85,14"
"Stadskanaal","99,13"
"Slochteren","131,68"
"Veendam","96,96"
"Vlagtwedde","139,95"
"Zeewolde","98,6"
"Winsum","124,49"
"Zuidhorn","122,87"
"Dongeradeel","110,78"
"Achtkarspelen","109,88"
"Ameland","124,1"
"het Bildt","112,33"
"Franekeradeel","113,87"
"Harlingen","97,1"
"Heerenveen","94,95"
"Kollumerland en Nieuwkruisland","112,47"
"Leeuwarden","77,19"
"Leeuwarderadeel","111,36"
"Ooststellingwerf","97,54"
"Opsterland","124,84"
"Schiermonnikoog","105,71"
"Smallingerland","112,02"
"Terschelling","83,03"
"Vlieland","81,69"
"Weststellingwerf","114,28"
"Assen","97,9"
"Coevorden","109,32"
"Emmen","104,85"
"Hoogeveen","100,72"
"Meppel","89,85"
"Littenseradiel","118,4"
"Almelo","93,72"
"Borne","113,69"
"Dalfsen","114,57"
"Deventer","84,65"
"Enschede","70,44"
"Haaksbergen","116,7"
"Hardenberg","109,89"
"Hellendoorn","106"
"Hengelo (O.)","95,14"
"Kampen","90,71"
"Losser","118,84"
"Noordoostpolder","126,78"
"Oldenzaal","104,67"
"Ommen","114,7"
"Raalte","113,81"
"Staphorst","155,1"
"Tubbergen","144,85"
"Urk","90,85"
"Wierden","105,64"
"Zwolle","78,1"
"Rijnwaarden","112,63"
"Aalten","112,37"
"Apeldoorn","88,11"
"Arnhem","73,62"
"Barneveld","94,73"
"Beuningen","103,59"
"Brummen","104,98"
"Buren","123,41"
"Culemborg","91,59"
"Doesburg","96,02"
"Doetinchem","91,29"
"Druten","104,04"
"Duiven","99,73"
"Ede","84,83"
"Elburg","100,82"
"Epe","130,53"
"Ermelo","90,76"
"Geldermalsen","104,62"
"Harderwijk","87,03"
"Hattem","109,73"
"Heerde","111,6"
"Heumen","106,92"
"Lochem","113,74"
"Maasdriel","110,29"
"Nijkerk","107,74"
"Nijmegen","70,03"
"Oldebroek","204,75"
"Putten","101,55"
"Renkum","186,59"
"Rheden","89,65"
"Rozendaal","136,23"
"Scherpenzeel","71,09"
"Tiel","89,39"
"Voorst","101,43"
"Wageningen","62,37"
"Westervoort","94,72"
"Winterswijk","155,5"
"Wijchen","100,09"
"Zaltbommel","162,51"
"Zevenaar","102,47"
"Zutphen","90,71"
"Nunspeet","100,13"
"Dronten","103,65"
"Neerijnen","108,52"
"Amersfoort","86,47"
"Baarn","88,49"
"De Bilt","95,8"
"Bunnik","102,42"
"Bunschoten","85,44"
"Eemnes","109,15"
"Houten","95,55"
"Leusden","106,39"
"Lopik","100,29"
"Montfoort","98,52"
"Renswoude","81,6"
"Rhenen","99,06"
"Soest","92,08"
"Utrecht (gemeente)","62,89"
"Veenendaal","81,76"
"Woudenberg","102,82"
"Wijk bij Duurstede","96,19"
"IJsselstein","88,04"
"Zeist","83,45"
"Nieuwegein","83,3"
"Aalsmeer","93,55"
"Alkmaar","84,51"
"Amstelveen","76,3"
"Amsterdam","61,74"
"Beemster","118,27"
"Bergen (NH.)","124,23"
"Beverwijk","76,75"
"Blaricum","124,25"
"Bloemendaal","118,11"
"Castricum","98,48"
"Diemen","60,1"
"Edam-Volendam","99,84"
"Enkhuizen","87,11"
"Haarlem","76,49"
"Haarlemmerliede en Spaarnwoude","97,33"
"Haarlemmermeer","104,36"
"Heemskerk","85,15"
"Heemstede","97,66"
"Heerhugowaard","88,6"
"Heiloo","101,14"
"Den Helder","89,61"
"Hilversum","83,61"
"Hoorn","91,3"
"Huizen","90,65"
"Landsmeer","95,35"
"Langedijk","107,06"
"Laren (NH.)","124,26"
"Medemblik","102,43"
"Oostzaan","91,89"
"Opmeer","108,97"
"Ouder-Amstel","101,89"
"Purmerend","82,54"
"Schagen","103,27"
"Texel","109,15"
"Uitgeest","97,94"
"Uithoorn","87,09"
"Velsen","85,98"
"Weesp","76,13"
"Zandvoort","90,39"
"Zaanstad","82,58"
"Alblasserdam","80,3"
"Alphen aan den Rijn","86,49"
"Barendrecht","101,54"
"Drechterland","108,32"
"Brielle","101,16"
"Capelle aan den IJssel","79,69"
"Delft","61,44"
"Dordrecht","78,93"
"Gorinchem","82,82"
"Gouda","82,29"
"'s-Gravenhage (gemeente)","70,49"
"Hardinxveld-Giessendam","89,95"
"Hellevoetsluis","90,75"
"Hendrik-Ido-Ambacht","90,35"
"Stede Broec","96,65"
"Hillegom","87,8"
"Katwijk","84,27"
"Krimpen aan den IJssel","95,87"
"Leerdam","89,03"
"Leiden","63,97"
"Leiderdorp","83,23"
"Lisse","93,6"
"Maassluis","78,78"
"Nieuwkoop","101,49"
"Noordwijk","85,25"
"Noordwijkerhout","94,85"
"Oegstgeest","95,26"
"Oud-Beijerland","90,8"
"Binnenmaas","100,84"
"Korendijk","101,8"
"Oudewater","95,32"
"Papendrecht","87,61"
"Ridderkerk","83,77"
"Rotterdam","70,52"
"Rijswijk (ZH.)","108,72"
"Schiedam","77,78"
"Sliedrecht","82,03"
"Cromstrijen","95,46"
"Albrandswaard","100,2"
"Westvoorne","107,71"
"Strijen","93,66"
"Vianen","97,02"
"Vlaardingen","77,19"
"Voorschoten","94,21"
"Waddinxveen","86,22"
"Wassenaar","113,08"
"Woerden","90,91"
"Zoetermeer","83,65"
"Zoeterwoude","99,88"
"Zwijndrecht","83,46"
"Borsele","115,29"
"Goes","89,57"
"West Maas en Waal","124,37"
"Hulst","116,86"
"Kapelle","101,96"
"Middelburg (Z.)","89,52"
"Giessenlanden","107,28"
"Reimerswaal","93,27"
"Zederik","100,9"
"Terneuzen","99,03"
"Tholen","100,21"
"Veere","114,15"
"Vlissingen","78,27"
"Lingewaal","97,88"
"De Ronde Venen","98,85"
"Tytsjerksteradiel","108,6"
"Aalburg","115,46"
"Asten","127,09"
"Baarle-Nassau","120,99"
"Bergen op Zoom","92,9"
"Best","102,15"
"Boekel","116,93"
"Boxmeer","108,06"
"Boxtel","96,05"
"Breda","77,33"
"Deurne","119,72"
"Pekela","122,88"
"Dongen","100,03"
"Eersel","122,68"
"Eindhoven","83,2"
"Etten-Leur","99,12"
"Geertruidenberg","96,07"
"Gilze en Rijen","102,06"
"Goirle","105,43"
"Grave","117,87"
"Haaren","146,97"
"Helmond","91,6"
"'s-Hertogenbosch","89,17"
"Heusden","108,61"
"Hilvarenbeek","129,01"
"Loon op Zand","102,17"
"Mill en Sint Hubert","121,37"
"Nuenen, Gerwen en Nederwetten","121,79"
"Oirschot","121,07"
"Oisterwijk","108,33"
"Oosterhout","100,6"
"Oss","103,72"
"Rucphen","122,54"
"Sint-Michielsgestel","110,2"
"Someren","111,45"
"Son en Breugel","126,27"
"Steenbergen","115,23"
"Waterland","109,75"
"Tilburg","75,13"
"Uden","105,62"
"Valkenswaard","101,51"
"Veldhoven","100,22"
"Vught","105,17"
"Waalre","108,81"
"Waalwijk","91,11"
"Werkendam","104,15"
"Woensdrecht","114,82"
"Woudrichem","108,77"
"Zundert","97,82"
"Wormerland","89,55"
"Onderbanken","128"
"Landgraaf","106,51"
"Beek (L.)","112,54"
"Beesel","114,26"
"Bergen (L.)","129,81"
"Brunssum","102,54"
"Gennep","115,9"
"Heerlen","92,44"
"Kerkrade","106,13"
"Maastricht","73,09"
"Meerssen","111,43"
"Mook en Middelaar","127,02"
"Nederweert","125,96"
"Nuth","121,39"
"Roermond","107,59"
"Schinnen","129,52"
"Simpelveld","124,1"
"Stein (L.)","118,94"
"Vaals","91,4"
"Venlo","100,29"
"Venray","116,45"
"Voerendaal","126,78"
"Weert","103,81"
"Valkenburg aan de Geul","110,07"
"Lelystad","98,27"
"Horst aan de Maas","127,07"
"Oude IJsselstreek","119,31"
"Teylingen","91,31"
"Utrechtse Heuvelrug","91,15"
"Oost Gelre","124,56"
"Koggenland","101,57"
"Lansingerland","99,58"
"Leudal","117,56"
"Maasgouw","129,09"
"Eemsmond","122,37"
"Gemert-Bakel","112,77"
"Halderberge","114,33"
"Heeze-Leende","132,14"
"Laarbeek","109,95"
"De Marne","149,83"
"Reusel-De Mierden","117,39"
"Roerdalen","131,01"
"Roosendaal","96,98"
"Schouwen-Duiveland","105,09"
"Aa en Hunze","126,89"
"Borger-Odoorn","118,92"
"Cuijk","110,2"
"Landerd","118,42"
"De Wolden","129,88"
"Noord-Beveland","105,1"
"Wijdemeren","97,53"
"Noordenveld","120,92"
"Twenterand","113,36"
"Westerveld","143,46"
"Sint Anthonis","137,19"
"Lingewaard","108,53"
"Cranendonck","122,34"
"Steenwijkerland","114,46"
"Moerdijk","102,59"
"Echt-Susteren","122,43"
"Sluis","115,93"
"Drimmelen","100,27"
"Bernheze","113,3"
"Ferwerderadiel","123,22"
"Alphen-Chaam","200,53"
"Bergeijk","125,11"
"Bladel","121,94"
"Gulpen-Wittem","128,03"
"Tynaarlo","115,95"
"Midden-Drenthe","110,72"
"Overbetuwe","205,15"
"Hof van Twente","119,04"
"Neder-Betuwe","108,71"
"Rijssen-Holten","104,74"
"Geldrop-Mierlo","107,74"
"Olst-Wijhe","108,96"
"Dinkelland","116,55"
"Westland","86,22"
"Midden-Delfland","93,69"
"Berkelland","117,13"
"Bronckhorst","130,56"
"Sittard-Geleen","101,04"
"Kaag en Braassem","101,63"
"Dantumadiel","109,21"
"Zuidplas","92,45"
"Peel en Maas","120,99"
"Oldambt","112,71"
"Zwartewaterland","113,54"
"Súdwest-Fryslân","111,72"
"Bodegraven-Reeuwijk","94,13"
"Eijsden-Margraten","131,29"
"Stichtse Vecht","92,11"
"Menameradiel","117,87"
"Hollands Kroon","213,61"
"Leidschendam-Voorburg","81,22"
"Goeree-Overflakkee","105,62"
"Pijnacker-Nootdorp","94,17"
"Molenwaard","105,86"
"Nissewaard","83,64"
"Krimpenerwaard","96,93"
"De Fryske Marren","116,26"
"Gooise Meren","92,57"
"Berg en Dal","105,53"
"Meierijstad","112,37"
"Montferland","135,78"
"Menterwolde","136,82"
