" ","Opp. per persoon, Paren met kinderen ( m2)"
"Appingedam","38,48"
"Bedum","46,49"
"Bellingwedde","63,25"
"Ten Boer","49,03"
"Delfzijl","46,13"
"Groningen (gemeente)","36,42"
"Grootegast","51,89"
"Haren","43,24"
"Hoogezand-Sappemeer","36,71"
"Leek","46,39"
"Loppersum","54,05"
"Marum","52,92"
"Almere","34,28"
"Stadskanaal","35,78"
"Slochteren","55,13"
"Veendam","39,06"
"Vlagtwedde","40,78"
"Zeewolde","38,99"
"Winsum","54,57"
"Zuidhorn","51,75"
"Dongeradeel","49,32"
"Achtkarspelen","43,5"
"Ameland","43,77"
"het Bildt","51,91"
"Franekeradeel","50,04"
"Harlingen","43,89"
"Heerenveen","42,73"
"Kollumerland en Nieuwkruisland","47,5"
"Leeuwarden","38,53"
"Leeuwarderadeel","44,26"
"Ooststellingwerf","38,09"
"Opsterland","53,44"
"Schiermonnikoog","34,78"
"Smallingerland","43,22"
"Terschelling","40,58"
"Vlieland","33,91"
"Weststellingwerf","49,88"
"Assen","39,14"
"Coevorden","44,49"
"Emmen","39,8"
"Hoogeveen","40"
"Meppel","36,23"
"Littenseradiel","66,78"
"Almelo","35,85"
"Borne","42,03"
"Dalfsen","41,5"
"Deventer","35,26"
"Enschede","33,59"
"Haaksbergen","45,21"
"Hardenberg","40,87"
"Hellendoorn","37,21"
"Hengelo (O.)","37,37"
"Kampen","36,67"
"Losser","45,92"
"Noordoostpolder","63,68"
"Oldenzaal","47,03"
"Ommen","43,43"
"Raalte","43,8"
"Staphorst","51,65"
"Tubbergen","58,41"
"Urk","30,5"
"Wierden","37,92"
"Zwolle","35,49"
"Rijnwaarden","41,28"
"Aalten","42,51"
"Apeldoorn","35,62"
"Arnhem","34,2"
"Barneveld","34,62"
"Beuningen","42,43"
"Brummen","36,24"
"Buren","45,7"
"Culemborg","34,99"
"Doesburg","35,97"
"Doetinchem","36,22"
"Druten","42,57"
"Duiven","38,42"
"Ede","34,97"
"Elburg","37,28"
"Epe","53,59"
"Ermelo","35,37"
"Geldermalsen","39,42"
"Harderwijk","34,12"
"Hattem","37,83"
"Heerde","38,95"
"Heumen","40,82"
"Lochem","44,41"
"Maasdriel","40,26"
"Nijkerk","45,39"
"Nijmegen","40,46"
"Oldebroek","65,96"
"Putten","38,28"
"Renkum","75,95"
"Rheden","37,03"
"Rozendaal","51,44"
