" ","Opp. per persoon,  Paren zonder kinderen ( m2)"
"Appingedam","64,05"
"Bedum","79,25"
"Bellingwedde","100,13"
"Ten Boer","77,62"
"Delfzijl","76,29"
"Groningen (gemeente)","54,96"
"Grootegast","91,51"
"Haren","80,17"
"Hoogezand-Sappemeer","62,64"
"Leek","74,27"
"Loppersum","84,99"
"Marum","88,17"
"Almere","59,83"
"Stadskanaal","61,77"
"Slochteren","87,05"
"Veendam","65,18"
"Vlagtwedde","79,62"
"Zeewolde","68,39"
"Winsum","84,02"
"Zuidhorn","78,77"
"Dongeradeel","74,6"
"Achtkarspelen","72,22"
"Ameland","76,5"
"het Bildt","75,54"
"Franekeradeel","76,41"
"Harlingen","68,12"
"Heerenveen","66,07"
"Kollumerland en Nieuwkruisland","76,56"
"Leeuwarden","59,53"
"Leeuwarderadeel","69,04"
"Ooststellingwerf","62,66"
"Opsterland","85,68"
"Schiermonnikoog","62,02"
"Smallingerland","76,25"
"Terschelling","67,34"
"Vlieland","55,55"
"Weststellingwerf","74,72"
"Assen","67,79"
"Coevorden","75,61"
"Emmen","68,38"
"Hoogeveen","69,82"
"Meppel","61,19"
"Littenseradiel","100,91"
"Almelo","63,36"
"Borne","72,13"
"Dalfsen","74,78"
"Deventer","60,31"
"Enschede","56,22"
"Haaksbergen","68,44"
"Hardenberg","72,28"
"Hellendoorn","66,32"
"Hengelo (O.)","64,87"
"Kampen","65,11"
"Losser","76,26"
"Noordoostpolder","116,38"
"Oldenzaal","72,98"
"Ommen","77,92"
"Raalte","74,99"
"Staphorst","101,5"
"Tubbergen","89,98"
"Urk","61,51"
"Wierden","67,44"
"Zwolle","58,6"
"Rijnwaarden","70,69"
"Aalten","75,29"
"Apeldoorn","61,98"
"Arnhem","55,54"
"Barneveld","63,95"
"Beuningen","68,66"
"Brummen","66,84"
"Buren","78,39"
"Culemborg","61,08"
"Doesburg","63,54"
"Doetinchem","62,77"
"Druten","70,65"
"Duiven","64,13"
"Ede","62,65"
"Elburg","66,4"
"Epe","89,38"
"Ermelo","62,95"
"Geldermalsen","71,36"
"Harderwijk","59,21"
"Hattem","70,12"
"Heerde","70,7"
"Heumen","71,3"
"Lochem","77,3"
"Maasdriel","72,13"
"Nijkerk","66,64"
"Nijmegen","61,34"
"Oldebroek","126,88"
"Putten","69,04"
"Renkum","172,49"
"Rheden","63,43"
"Rozendaal","93,17"
"Scherpenzeel","43,19"
"Tiel","59,52"
"Voorst","68,91"
"Wageningen","60,06"
"Westervoort","61,81"
