" ","Opp. per persoon, Alle huishoudens ( m2)"
"Appingedam","68,52"
"Bedum","78,07"
"Bellingwedde","104,35"
"Ten Boer","78,23"
"Delfzijl","80,23"
"Groningen (gemeente)","60,95"
"Grootegast","86,78"
"Haren","87,29"
"Hoogezand-Sappemeer","65,87"
"Leek","75,53"
"Loppersum","90,34"
"Marum","83,63"
"Almere","57,09"
"Stadskanaal","67,13"
"Slochteren","88,15"
"Veendam","67,67"
"Vlagtwedde","88,01"
"Zeewolde","63,7"
"Winsum","86,47"
"Zuidhorn","80,48"
"Dongeradeel","78,4"
"Achtkarspelen","73,11"
"Ameland","85,07"
"het Bildt","80,13"
"Franekeradeel","81,28"
"Harlingen","72,21"
"Heerenveen","68,89"
"Kollumerland en Nieuwkruisland","77,24"
"Leeuwarden","62,73"
"Leeuwarderadeel","72,02"
"Ooststellingwerf","65,95"
"Opsterland","86,2"
"Schiermonnikoog","78,98"
"Smallingerland","78,27"
"Terschelling","69,04"
"Vlieland","64,3"
"Weststellingwerf","79,13"
"Assen","70,27"
"Coevorden","75,99"
"Emmen","71,48"
"Hoogeveen","70,15"
"Meppel","63,16"
"Littenseradiel","92,92"
"Almelo","65,08"
"Borne","72,86"
"Dalfsen","72,44"
"Deventer","61,76"
"Enschede","56,48"
"Haaksbergen","73,44"
"Hardenberg","70,4"
"Hellendoorn","66,39"
"Hengelo (O.)","67,75"
"Kampen","62,45"
"Losser","76,81"
"Noordoostpolder","98,45"
"Oldenzaal","74,48"
"Ommen","76,81"
"Raalte","74,6"
"Staphorst","90,47"
"Tubbergen","89,46"
"Urk","49,46"
"Wierden","64,89"
"Zwolle","59,48"
"Rijnwaarden","72,74"
"Aalten","75,19"
"Apeldoorn","63,06"
"Arnhem","58,51"
"Barneveld","60,52"
"Beuningen","68,53"
"Brummen","67,84"
"Buren","76,97"
"Culemborg","61,49"
"Doesburg","66,25"
"Doetinchem","63,89"
"Druten","69,28"
"Duiven","63,93"
"Ede","60,89"
