ID;Geslacht;Leeftijd;RegioS;Perioden;TotaalInParticuliereHuishoudens_2;ThuiswonendKind_3;Alleenstaand_4;TotaalSamenwonendePersonen_5;PartnerInNietGehuwdPaarZonderKi_6;PartnerInGehuwdPaarZonderKinderen_7;PartnerInNietGehuwdPaarMetKinderen_8;PartnerInGehuwdPaarMetKinderen_9;OuderInEenouderhuishouden_10;OverigLidHuishouden_11
15014;T001038;0 - 5 jaar;GM1680;2020JJ00;945;937;;;;;;;;8
15035;T001038;0 - 5 jaar;GM0738;2020JJ00;;;;;;;;;;
15056;T001038;0 - 5 jaar;GM0358;2020JJ00;1432;1410;;;;;;;;22
15077;T001038;0 - 5 jaar;GM0197;2020JJ00;1201;1192;;;;;;;;9
15098;T001038;0 - 5 jaar;GM0480;2020JJ00;;;;;;;;;;
15119;T001038;0 - 5 jaar;GM0305;2020JJ00;;;;;;;;;;
15140;T001038;0 - 5 jaar;GM0059;2020JJ00;1412;1396;;;;;;;;16
15161;T001038;0 - 5 jaar;GM0360;2020JJ00;;;;;;;;;;
15182;T001038;0 - 5 jaar;GM0482;2020JJ00;1242;1231;;;;;;;;11
15203;T001038;0 - 5 jaar;GM0613;2020JJ00;1260;1237;;;;;;;;23
15224;T001038;0 - 5 jaar;GM0483;2020JJ00;;;;;;;;;;
15245;T001038;0 - 5 jaar;GM0361;2020JJ00;5343;5282;;;;;;;;61
15266;T001038;0 - 5 jaar;GM0141;2020JJ00;3487;3436;;;;;;;;51
15287;T001038;0 - 5 jaar;GM0034;2020JJ00;12739;12397;;;;;;;;342
15308;T001038;0 - 5 jaar;GM0484;2020JJ00;5676;5612;;;;;;;;64
15329;T001038;0 - 5 jaar;GM1723;2020JJ00;479;477;;;;;;;;2
15350;T001038;0 - 5 jaar;GM1959;2020JJ00;3033;2994;;;;;;;;39
15371;T001038;0 - 5 jaar;GM0142;2020JJ00;;;;;;;;;;
15392;T001038;0 - 5 jaar;GM1679;2020JJ00;;;;;;;;;;
15413;T001038;0 - 5 jaar;GM0060;2020JJ00;160;158;;;;;;;;2
15434;T001038;0 - 5 jaar;GM0306;2020JJ00;;;;;;;;;;
15455;T001038;0 - 5 jaar;GM0307;2020JJ00;8803;8700;;;;;;;;103
15476;T001038;0 - 5 jaar;GM0362;2020JJ00;4952;4898;;;;;;;;54
15497;T001038;0 - 5 jaar;GM0363;2020JJ00;45422;44250;;;;;;;;1172
15518;T001038;0 - 5 jaar;GM0364;2020JJ00;;;;;;;;;;
15539;T001038;0 - 5 jaar;GM0199;2020JJ00;;;;;;;;;;
15560;T001038;0 - 5 jaar;GM0366;2020JJ00;;;;;;;;;;
15581;T001038;0 - 5 jaar;GM0200;2020JJ00;7851;7720;;;;;;;;131
15602;T001038;0 - 5 jaar;GM0003;2020JJ00;456;454;;;;;;;;2
15623;T001038;0 - 5 jaar;GM0885;2020JJ00;;;;;;;;;;
15644;T001038;0 - 5 jaar;GM0202;2020JJ00;7981;7851;;;;;;;;130
15665;T001038;0 - 5 jaar;GM0106;2020JJ00;3062;3025;;;;;;;;37
15686;T001038;0 - 5 jaar;GM0743;2020JJ00;736;731;;;;;;;;5
15707;T001038;0 - 5 jaar;GM0143;2020JJ00;;;;;;;;;;
15728;T001038;0 - 5 jaar;GM0650;2020JJ00;;;;;;;;;;
15749;T001038;0 - 5 jaar;GM0744;2020JJ00;321;321;;;;;;;;0
15770;T001038;0 - 5 jaar;GM0308;2020JJ00;1187;1174;;;;;;;;13
15791;T001038;0 - 5 jaar;GM0489;2020JJ00;2449;2403;;;;;;;;46
15812;T001038;0 - 5 jaar;GM0203;2020JJ00;4239;4201;;;;;;;;38
15833;T001038;0 - 5 jaar;GM0144;2020JJ00;;;;;;;;;;
15854;T001038;0 - 5 jaar;GM0005;2020JJ00;;;;;;;;;;
15875;T001038;0 - 5 jaar;GM0888;2020JJ00;623;613;;;;;;;;10
15896;T001038;0 - 5 jaar;GM1954;2020JJ00;1365;1350;;;;;;;;15
15917;T001038;0 - 5 jaar;GM0370;2020JJ00;582;575;;;;;;;;7
15938;T001038;0 - 5 jaar;GM0889;2020JJ00;559;549;;;;;;;;10
15959;T001038;0 - 5 jaar;GM0890;2020JJ00;;;;;;;;;;
15980;T001038;0 - 5 jaar;GM0007;2020JJ00;;;;;;;;;;
16001;T001038;0 - 5 jaar;GM0206;2020JJ00;;;;;;;;;;
16022;T001038;0 - 5 jaar;GM0372;2020JJ00;;;;;;;;;;
16043;T001038;0 - 5 jaar;GM1945;2020JJ00;1402;1392;;;;;;;;10
16064;T001038;0 - 5 jaar;GM0491;2020JJ00;;;;;;;;;;
16085;T001038;0 - 5 jaar;GM1724;2020JJ00;791;784;;;;;;;;7
16106;T001038;0 - 5 jaar;GM0893;2020JJ00;504;500;;;;;;;;4
16127;T001038;0 - 5 jaar;GM0373;2020JJ00;814;798;;;;;;;;16
16148;T001038;0 - 5 jaar;GM0748;2020JJ00;3210;3173;;;;;;;;37
16169;T001038;0 - 5 jaar;GM0207;2020JJ00;;;;;;;;;;
16190;T001038;0 - 5 jaar;GM0492;2020JJ00;;;;;;;;;;
16211;T001038;0 - 5 jaar;GM0493;2020JJ00;;;;;;;;;;
16232;T001038;0 - 5 jaar;GM1859;2020JJ00;1700;1683;;;;;;;;17
16253;T001038;0 - 5 jaar;GM1721;2020JJ00;1447;1434;;;;;;;;13
16274;T001038;0 - 5 jaar;GM0568;2020JJ00;;;;;;;;;;
16295;T001038;0 - 5 jaar;GM0753;2020JJ00;1376;1351;;;;;;;;25
16316;T001038;0 - 5 jaar;GM0209;2020JJ00;1278;1257;;;;;;;;21
16337;T001038;0 - 5 jaar;GM0375;2020JJ00;2193;2163;;;;;;;;30
16358;T001038;0 - 5 jaar;GM0063;2020JJ00;;;;;;;;;;
16379;T001038;0 - 5 jaar;GM0310;2020JJ00;2128;2115;;;;;;;;13
16400;T001038;0 - 5 jaar;GM0585;2020JJ00;;;;;;;;;;
16421;T001038;0 - 5 jaar;GM1728;2020JJ00;934;923;;;;;;;;11
16442;T001038;0 - 5 jaar;GM0376;2020JJ00;785;776;;;;;;;;9
16463;T001038;0 - 5 jaar;GM0495;2020JJ00;;;;;;;;;;
16484;T001038;0 - 5 jaar;GM0377;2020JJ00;926;917;;;;;;;;9
16505;T001038;0 - 5 jaar;GM0055;2020JJ00;;;;;;;;;;
16526;T001038;0 - 5 jaar;GM0497;2020JJ00;;;;;;;;;;
16547;T001038;0 - 5 jaar;GM1901;2020JJ00;2018;2005;;;;;;;;13
16568;T001038;0 - 5 jaar;GM0755;2020JJ00;532;525;;;;;;;;7
16589;T001038;0 - 5 jaar;GM0009;2020JJ00;;;;;;;;;;
16610;T001038;0 - 5 jaar;GM0064;2020JJ00;;;;;;;;;;
16631;T001038;0 - 5 jaar;GM0211;2020JJ00;;;;;;;;;;
16652;T001038;0 - 5 jaar;GM1681;2020JJ00;1039;1019;;;;;;;;20
16673;T001038;0 - 5 jaar;GM0897;2020JJ00;;;;;;;;;;
