"bu_code","identificatie","oppervlakteverblijfsobject","gebruiksdoelverblijfsobject"
"BU05050800","0505010000000023","26","industriefunctie"
"BU05050800","0505010000000024","17","overige gebruiksfunctie"
"BU05050800","0505010000000025","17","overige gebruiksfunctie"
"BU05050800","0505010000000026","17","overige gebruiksfunctie"
"BU05050800","0505010000000027","17","overige gebruiksfunctie"
"BU05050800","0505010000000028","17","overige gebruiksfunctie"
"BU05050800","0505010000000029","17","overige gebruiksfunctie"
"BU05050800","0505010000000030","17","overige gebruiksfunctie"
"BU05050800","0505010000000031","17","overige gebruiksfunctie"
"BU05050800","0505010000000032","17","overige gebruiksfunctie"
"BU05050800","0505010000000033","17","overige gebruiksfunctie"
"BU05050800","0505010000000034","17","overige gebruiksfunctie"
"BU05050800","0505010000000035","55","woonfunctie"
"BU05050800","0505010000000036","103","woonfunctie"
"BU05050800","0505010000000037","103","woonfunctie"
"BU05050800","0505010000000038","103","woonfunctie"
"BU05050800","0505010000000039","103","woonfunctie"
"BU05050800","0505010000000040","103","woonfunctie"
"BU05050800","0505010000000041","103","woonfunctie"
"BU05050800","0505010000000042","103","woonfunctie"
"BU05050800","0505010000000043","103","woonfunctie"
"BU05050800","0505010000000044","103","woonfunctie"
"BU05050800","0505010000000045","103","woonfunctie"
"BU05050800","0505010000000046","82","woonfunctie"
"BU05050800","0505010000000047","55","woonfunctie"
"BU05050800","0505010000000048","78","woonfunctie"
"BU05050800","0505010000000049","78","woonfunctie"
"BU05050800","0505010000000050","78","woonfunctie"
"BU05050800","0505010000000051","78","woonfunctie"
"BU05050800","0505010000000052","78","woonfunctie"
"BU05050800","0505010000000053","78","woonfunctie"
"BU05050800","0505010000000054","78","woonfunctie"
"BU05050800","0505010000000055","78","woonfunctie"
"BU05050800","0505010000000056","78","woonfunctie"
"BU05050800","0505010000000057","78","woonfunctie"
"BU05050800","0505010000000058","57","woonfunctie"
"BU05050800","0505010000000059","55","woonfunctie"
"BU05050800","0505010000000060","78","woonfunctie"
"BU05050800","0505010000000061","78","woonfunctie"
"BU05050800","0505010000000062","78","woonfunctie"
"BU05050800","0505010000000063","78","woonfunctie"
"BU05050800","0505010000000064","78","woonfunctie"
"BU05050800","0505010000000065","78","woonfunctie"
"BU05050800","0505010000000066","78","woonfunctie"
"BU05050800","0505010000000067","78","woonfunctie"
"BU05050800","0505010000000068","78","woonfunctie"
"BU05050800","0505010000000069","78","woonfunctie"
"BU05050800","0505010000000070","55","woonfunctie"
"BU05050800","0505010000000071","55","woonfunctie"
"BU05050800","0505010000000072","78","woonfunctie"
"BU05050800","0505010000000073","78","woonfunctie"
"BU05050800","0505010000000074","78","woonfunctie"
"BU05050800","0505010000000075","78","woonfunctie"
"BU05050800","0505010000000076","78","woonfunctie"
"BU05050800","0505010000000077","78","woonfunctie"
"BU05050800","0505010000000078","78","woonfunctie"
"BU05050800","0505010000000079","78","woonfunctie"
"BU05050800","0505010000000080","78","woonfunctie"
"BU05050800","0505010000000081","78","woonfunctie"
"BU05050800","0505010000000082","55","woonfunctie"
"BU05050800","0505010000000083","55","woonfunctie"
"BU05050800","0505010000000084","78","woonfunctie"
"BU05050800","0505010000000085","78","woonfunctie"
"BU05050800","0505010000000086","78","woonfunctie"
"BU05050800","0505010000000087","78","woonfunctie"
"BU05050800","0505010000000088","78","woonfunctie"
"BU05050800","0505010000000089","78","woonfunctie"
"BU05050800","0505010000000090","78","woonfunctie"
"BU05050800","0505010000000091","78","woonfunctie"
"BU05050800","0505010000000092","78","woonfunctie"
"BU05050800","0505010000000093","78","woonfunctie"
"BU05050800","0505010000000094","53","woonfunctie"
"BU05050505","0505010000000096","41","woonfunctie"
"BU05050505","0505010000000098","408","onderwijsfunctie"
"BU05050505","0505010000000099","41","woonfunctie"
"BU05050505","0505010000000100","41","woonfunctie"
"BU05050505","0505010000000101","41","woonfunctie"
"BU05050505","0505010000000102","70","woonfunctie"
"BU05050505","0505010000000103","49","woonfunctie"
"BU05050505","0505010000000104","70","woonfunctie"
"BU05050505","0505010000000105","48","woonfunctie"
"BU05050505","0505010000000106","70","woonfunctie"
"BU05050505","0505010000000107","49","woonfunctie"
"BU05050505","0505010000000108","70","woonfunctie"
"BU05050505","0505010000000109","49","woonfunctie"
"BU05050505","0505010000000110","60","woonfunctie"
"BU05050505","0505010000000111","40","woonfunctie"
"BU05050505","0505010000000112","60","woonfunctie"
"BU05050505","0505010000000113","40","woonfunctie"
"BU05050505","0505010000000114","60","woonfunctie"
"BU05050505","0505010000000115","40","woonfunctie"
"BU05050505","0505010000000116","70","woonfunctie"
"BU05050505","0505010000000117","40","woonfunctie"
"BU05050505","0505010000000118","70","woonfunctie"
"BU05050505","0505010000000119","48","woonfunctie"
"BU05050505","0505010000000120","70","woonfunctie"
"BU05050505","0505010000000121","48","woonfunctie"
"BU05050505","0505010000000122","69","woonfunctie"
"BU05050505","0505010000000123","48","woonfunctie"
"BU05050505","0505010000000124","60","woonfunctie"
"BU05050505","0505010000000125","48","woonfunctie"
"BU05050505","0505010000000126","7","overige gebruiksfunctie"
"BU05050505","0505010000000127","60","woonfunctie"
"BU05050505","0505010000000128","60","woonfunctie"
"BU05050505","0505010000000129","60","woonfunctie"
"BU05050505","0505010000000130","60","woonfunctie"
"BU05050505","0505010000000131","60","woonfunctie"
"BU05050505","0505010000000132","60","woonfunctie"
"BU05050505","0505010000000133","70","woonfunctie"
"BU05050505","0505010000000134","70","woonfunctie"
"BU05050505","0505010000000135","70","woonfunctie"
"BU05050505","0505010000000136","70","woonfunctie"
"BU05050505","0505010000000137","70","woonfunctie"
"BU05050505","0505010000000138","70","woonfunctie"
"BU05050505","0505010000000139","70","woonfunctie"
"BU05050505","0505010000000140","60","woonfunctie"
"BU05050505","0505010000000141","60","woonfunctie"
"BU05050505","0505010000000142","60","woonfunctie"
"BU05050505","0505010000000143","60","woonfunctie"
"BU05050505","0505010000000144","70","woonfunctie"
"BU05050505","0505010000000145","60","woonfunctie"
"BU05050505","0505010000000146","70","woonfunctie"
"BU05050505","0505010000000147","60","woonfunctie"
"BU05050505","0505010000000148","70","woonfunctie"
"BU05050505","0505010000000149","60","woonfunctie"
"BU05050505","0505010000000150","70","woonfunctie"
"BU05050505","0505010000000151","70","woonfunctie"
"BU05050505","0505010000000152","81","woonfunctie"
"BU05050505","0505010000000153","70","woonfunctie"
"BU05050505","0505010000000154","81","woonfunctie"
"BU05050505","0505010000000155","70","woonfunctie"
"BU05050505","0505010000000156","81","woonfunctie"
"BU05050505","0505010000000157","70","woonfunctie"
"BU05050505","0505010000000158","81","woonfunctie"
"BU05050505","0505010000000159","60","woonfunctie"
"BU05050505","0505010000000160","81","woonfunctie"
"BU05050505","0505010000000161","60","woonfunctie"
"BU05050505","0505010000000162","81","woonfunctie"
"BU05050505","0505010000000163","60","woonfunctie"
"BU05050505","0505010000000164","45","winkelfunctie"
"BU05050505","0505010000000165","60","woonfunctie"
"BU05050505","0505010000000166","60","woonfunctie"
"BU05050505","0505010000000167","60","woonfunctie"
"BU05050505","0505010000000168","55","woonfunctie"
"BU05050505","0505010000000169","70","woonfunctie"
"BU05050505","0505010000000170","70","woonfunctie"
"BU05050505","0505010000000171","70","woonfunctie"
"BU05050505","0505010000000172","60","woonfunctie"
"BU05050505","0505010000000173","60","woonfunctie"
"BU05050505","0505010000000174","60","woonfunctie"
"BU05050505","0505010000000175","70","woonfunctie"
"BU05050505","0505010000000176","70","woonfunctie"
"BU05050505","0505010000000177","70","woonfunctie"
"BU05050505","0505010000000178","60","woonfunctie"
"BU05050505","0505010000000179","60","woonfunctie"
"BU05050505","0505010000000180","60","woonfunctie"
"BU05050505","0505010000000181","70","woonfunctie"
"BU05050505","0505010000000182","70","woonfunctie"
"BU05050505","0505010000000183","70","woonfunctie"
"BU05050505","0505010000000184","60","woonfunctie"
"BU05050505","0505010000000185","60","woonfunctie"
"BU05050505","0505010000000186","60","woonfunctie"
"BU05050505","0505010000000187","70","woonfunctie"
"BU05050505","0505010000000188","70","woonfunctie"
"BU05050505","0505010000000189","70","woonfunctie"
"BU05050505","0505010000000190","60","woonfunctie"
"BU05050505","0505010000000191","60","woonfunctie"
"BU05050505","0505010000000192","60","woonfunctie"
"BU05050505","0505010000000193","70","woonfunctie"
"BU05050505","0505010000000194","70","woonfunctie"
"BU05050505","0505010000000195","70","woonfunctie"
"BU05050505","0505010000000196","60","woonfunctie"
"BU05050505","0505010000000197","60","woonfunctie"
"BU05050505","0505010000000198","60","woonfunctie"
"BU05050505","0505010000000199","60","woonfunctie"
"BU05050505","0505010000000200","60","woonfunctie"
"BU05050505","0505010000000201","60","woonfunctie"
"BU05050102","0505010000000202","328","woonfunctie"
"BU05050102","0505010000000203","54","woonfunctie"
"BU05050102","0505010000000204","109","woonfunctie"
"BU05050102","0505010000000204","109","kantoorfunctie"
"BU05050102","0505010000000205","57","woonfunctie"
"BU05050102","0505010000000206","310","woonfunctie"
"BU05050102","0505010000000207","59","woonfunctie"
"BU05050102","0505010000000208","280","woonfunctie"
"BU05050102","0505010000000208","280","kantoorfunctie"
"BU05050102","0505010000000209","61","woonfunctie"
"BU05050102","0505010000000210","212","woonfunctie"
"BU05050102","0505010000000210","212","kantoorfunctie"
"BU05050102","0505010000000211","58","woonfunctie"
"BU05050102","0505010000000212","106","woonfunctie"
"BU05050102","0505010000000213","57","woonfunctie"
"BU05050102","0505010000000214","96","woonfunctie"
"BU05050102","0505010000000214","96","bijeenkomstfunctie"
"BU05050102","0505010000000215","59","woonfunctie"
"BU05050102","0505010000000216","97","woonfunctie"
"BU05050102","0505010000000217","61","woonfunctie"
"BU05050102","0505010000000218","122","woonfunctie"
"BU05050102","0505010000000219","58","woonfunctie"
"BU05050102","0505010000000220","102","winkelfunctie"
"BU05050102","0505010000000221","60","woonfunctie"
"BU05050102","0505010000000222","138","woonfunctie"
"BU05050102","0505010000000223","59","woonfunctie"
"BU05050102","0505010000000224","267","woonfunctie"
"BU05050102","0505010000000225","61","woonfunctie"
"BU05050102","0505010000000227","58","woonfunctie"
"BU05050102","0505010000000228","186","woonfunctie"
"BU05050102","0505010000000229","57","woonfunctie"
